Front,Back,Tags
Hand,"die Hand, Hände, рука<br><br>Er gab mir die Hand. – Він подав мені руку.<br><br><br><br>reichen – подавати; greifen – хапати; schütteln – тиснути; zeigen – показувати; winken – махати<br><br>handeln – діяти; behandeln – лікувати<br><br>die Faust – кулак; die Pfote – лапа",KontakteInformationenZurPerson
Hilfe,"die Hilfe, Hilfen, допомога<br><br>Vielen Dank für deine Hilfe. – Дуже дякую за твою допомогу.<br><br><br><br>leisten – надавати; benötigen – потребувати; annehmen – приймати; verweigern – відмовляти; erbitten – просити<br><br>helfen – допомагати; behelfen – обходитися<br><br>die Unterstützung – підтримка; der Beistand – підтримка",Nomen
Himmel,"der Himmel, Himmel, небо<br><br>Der Himmel ist heute klar. – Небо сьогодні ясне.<br><br><br><br>aufziehen – насуватися; erhellen – освітлювати; bewölken – хмаритися; erstrahlen – сяяти; funkeln – мерехтіти<br><br>himmeln – обожнювати<br><br>das Firmament – небосхил; die Sphäre – сфера",Nomen
Handy,"das Handy, Handys, мобільний телефон<br><br>Mein Handy ist leer. – Мій телефон розрядився.<br><br><br><br>aufladen – заряджати; telefonieren – телефонувати; tippen – набирати; vibrieren – вібрувати; entsperren – розблокувати<br><br><br><br>das Mobiltelefon – мобільний телефон; das Smartphone – смартфон",7DasPräteritumDerUnregelmäßigenVerben Nomen
Handwerk,"das Handwerk, Handwerke, ремесло<br><br>Das Handwerk hat goldenen Boden. – Ремесло годує.<br><br>die Hand – рука; das Werk – робота<br><br>ausüben – займатися; erlernen – вивчати; beherrschen – володіти; perfektionieren – удосконалювати; weitergeben – передавати<br><br>handwerken – майструвати<br><br>das Gewerbe – промисел; das Kunsthandwerk – ужиткове мистецтво",Nomen StellenaziegeMechatroniker
Hemd,"das Hemd, Hemden, сорочка<br><br>Er trägt ein weißes Hemd. – Він одягає білу сорочку.<br><br><br><br>anziehen – одягати; bügeln – прасувати; knöpfen – застібати; falten – складати; anprobieren – приміряти<br><br>hemden – носити сорочку (розм.)<br><br>die Bluse – блузка; das T-Shirt – футболка",7DasPräteritumDerUnregelmäßigenVerben Nomen
Herbst,"der Herbst, Herbste, осінь<br><br>Im Herbst fallen die Blätter. – Восени падає листя.<br><br><br><br>färben – фарбувати; wehen – віяти; sammeln – збирати; reifen – дозрівати<br><br>herbsteln – наставати осені<br><br>die Herbstzeit – осіння пора; die dritte Jahreszeit – третя пора року",Nomen
Herr,"der Herr, Herren, пан<br><br>Guten Tag, Herr Müller! – Добрий день, пане Мюллере!<br><br><br><br>begrüßen – вітати; anreden – звертатися; vorstellen – представляти; grüßen – вітати<br><br>herrschen – панувати<br><br>der Gentleman – джентльмен; der Mann – чоловік",KontakteInformationenZurPerson
Hierarchie,"die Hierarchie, Hierarchien, ієрархія<br><br>Eine flache Hierarchie erleichtert Entscheidungen. – Плоска ієрархія полегшує ухвалення рішень.<br><br><br><br>etablieren – встановлювати; festlegen – визначати; abbauen – зменшувати; strukturieren – структурувати; respektieren – поважати<br><br>hierarchisieren – ієрархізувати<br><br>die Rangordnung – порядок підпорядкування; das Gefüge – структура",KontakteInformationenZurPerson
Idealfall,"der Idealfall, Idealfälle, ідеальний випадок<br><br>Im Idealfall klappt alles problemlos. – У ідеальному випадку все проходить без проблем.<br><br>das Ideal – ідеал; der Fall – випадок<br><br>eintreten – наставати; schildern – описувати; anstreben – прагнути; berücksichtigen – враховувати<br><br>idealisieren – ідеалізувати<br><br>das Optimum – оптимальний варіант; die Bestlösung – найкраще рішення",Nomen StellenaziegeMechatroniker
Idee,"die Idee, Ideen, ідея<br><br>Das ist eine brillante Idee. – Це блискуча ідея.<br><br><br><br>haben – мати; konzipieren – продумувати; umsetzen – реалізувати; teilen – ділитися; skizzieren – окреслити<br><br>idealisieren – ідеалізувати<br><br>der Einfall – задум; der Gedanke – думка",Buch5 Folge2 Nomen
Interesse,"das Interesse, Interessen, інтерес<br><br>Ich habe großes Interesse an Literatur. – Я дуже цікавлюся літературою.<br><br><br><br>bekunden – виявляти; verfolgen – стежити; wecken – пробуджувати; verlieren – втрачати; steigern – підвищувати<br><br>interessieren – цікавити<br><br>die Neugier – цікавість; die Anteilnahme – зацікавленість",Nomen StellenaziegeMechatroniker
Interview,"das Interview, Interviews, інтерв’ю<br><br>Das Interview dauerte eine Stunde. – Інтерв’ю тривало одну годину.<br><br><br><br>führen – проводити; geben – давати; veröffentlichen – публікувати; aufzeichnen – записувати; transkribieren – транскрибувати<br><br>interviewen – брати інтерв’ю<br><br>das Gespräch – розмова; die Befragung – опитування",Nomen
Jahr,"das Jahr, Jahre, рік<br><br>Ein Jahr hat zwölf Monate. – Рік має дванадцять місяців.<br><br><br><br>vergehen – минати; rechnen – рахувати; feiern – святкувати; abschließen – завершувати; planen – планувати<br><br>jahrelang dauern – тривати роками<br><br>das Kalenderjahr – календарний рік; die Jahresfrist – річний термін",Buch5 Folge2 Nomen
Jugend,"die Jugend, , молодь<br><br>Die Jugend engagiert sich für Klimaschutz. – Молодь активно захищає клімат.<br><br><br><br>fördern – підтримувати; prägen – формувати; vertreten – представляти; schützen – захищати; mobilisieren – мобілізувати<br><br>verjüngen – омолоджувати<br><br>die jungen Leute – молоді люди; die Heranwachsenden – підлітки",7DasPräteritumDerUnregelmäßigenVerben Nomen
Kaffee,"der Kaffee, Kaffees, кава<br><br>Morgens brauche ich eine Tasse Kaffee. – Вранці мені потрібна чашка кави.<br><br><br><br>trinken – пити; brühen – заварювати; mahlen – молоти; rösten – обсмажувати; servieren – подавати<br><br>koffeinieren – насичувати кофеїном<br><br>der Mokka – кава; das Heißgetränk – гарячий напій",Nomen
Kantine,"die Kantine, Kantinen, їдальня<br><br>Ich esse mittags in der Kantine. – Я обідаю в їдальні.<br><br><br><br>verpflegen – забезпечувати харчування; speisen – обідати; betreiben – керувати; subventionieren – субсидіювати; renovieren – ремонтувати<br><br>kantinieren – харчуватися в їдальні<br><br>die Mensa – студентська їдальня; das Betriebsrestaurant – корпоративний ресторан",Nomen
Karte,"die Karte, Karten, карта / квиток<br><br>Ich kaufe eine Fahrkarte. – Я купую квиток.<br><br><br><br>stempeln – компостувати; einlesen – зчитувати; zeichnen – креслити; verteilen – роздавати; archivieren – архівувати<br><br>kartieren – наносити на карту<br><br>die Landkarte – карта; das Ticket – квиток",Buch5 Folge2 Nomen
Karton,"der Karton, Kartons, картонна коробка<br><br>Der Karton ist leer. – Картонна коробка порожня.<br><br><br><br>packen – пакувати; versenden – надсилати; zerschneiden – розрізати; entsorgen – утилізувати<br><br>kartonieren – упаковувати в картон<br><br>die Schachtel – коробка",Nomen
Kleider,"die Kleider, –, одяг<br><br>Er trägt elegante Kleider. – Він носить елегантний одяг.<br><br><br><br>wechseln – змінювати; sortieren – сортувати; bügeln – прасувати; nähen – шити; kombinieren – комбінувати<br><br>bekleiden – одягати; kleiden – зодягати<br><br>die Kleidung – одяг; die Garderobe – гардероб",Buch5 Folge2 Nomen
Kiste,"die Kiste, Kisten, ящик<br><br>Die Kiste ist schwer. – Ящик важкий.<br><br>der Kasten – ящик<br><br>verstauen – складати; transportieren – транспортувати; verschließen – закривати; stapeln – штабелювати; markieren – маркувати<br><br>verkisten – пакувати в ящики<br><br>die Box – коробка; der Behälter – контейнер",Buch5 Folge2 Nomen
Kneipe,"die Kneipe, Kneipen, паб / пивничка<br><br>Wir treffen uns in der Kneipe. – Ми зустрічаємося в пабі.<br><br><br><br>plaudern – балакати; anstoßen – випити за; bestellen – замовляти; zahlen – платити; musizieren – музикувати<br><br>kneipen – випивати (розм.)<br><br>die Bar – бар; das Lokal – заклад",Buch5 Folge2 Nomen
Kollegin,"die Kollegin, Kolleginnen, колега (жін.)<br><br>Meine Kollegin hilft mir oft. – Моя колега часто допомагає мені.<br><br><br><br>kooperieren – співпрацювати; beraten – консультувати; delegieren – делегувати; motivieren – мотивувати; unterstützen – підтримувати<br><br>kollegieren – працювати разом<br><br>die Mitarbeiterin – співробітниця; die Teamkameradin – колега",KontakteInformationenZurPerson
Kolumne,"die Kolumne, Kolumnen, газетна колонка<br><br>Er schreibt eine wöchentliche Kolumne. – Він пише щотижневу колонку.<br><br><br><br>publizieren – публікувати; kommentieren – коментувати; redigieren – редагувати; abonnieren – передплачувати; recherchieren – досліджувати<br><br>kolumnieren – друкувати у колонці<br><br>der Beitrag – допис; der Kommentar – коментар",Nomen
Konferenz,"die Konferenz, Konferenzen, конференція<br><br>Die Konferenz beginnt um neun. – Конференція починається о дев’ятій.<br><br><br><br>tagen – засідати; protokollieren – протоколювати; moderieren – модерувати; abstimmen – голосувати; organisieren – організовувати<br><br>konferieren – проводити нараду<br><br>das Meeting – зустріч; der Kongress – конгрес",7DasPräteritumDerUnregelmäßigenVerben Nomen
Konto,"das Konto, Konten, рахунок<br><br>Ich überprüfe mein Konto online. – Я перевіряю свій рахунок онлайн.<br><br><br><br>ausgleichen – балансувати; sperren – блокувати; aufladen – поповнювати; schließen – закривати; reaktivieren – відновлювати<br><br>kontieren – проводити по рахунку<br><br>das Bankkonto – банківський рахунок; der Account – обліковий запис",Nomen
Kontoauszug,"der Kontoauszug, Kontoauszüge, виписка з рахунку<br><br>Bitte schicken Sie mir einen Kontoauszug. – Прошу надіслати мені виписку з рахунку.<br><br><br><br>ausdrucken – друкувати; archivieren – архівувати; beantragen – запитувати; versenden – надсилати; vergleichen – звіряти<br><br>ausziehen – робити виписку<br><br>die Abrechnung – звіт; die Kontobewegung – рух коштів",Nomen
Kontonummer,"die Kontonummer, Kontonummern, номер рахунку<br><br>Gib deine Kontonummer ein. – Введи свій номер рахунку.<br><br>das Konto – рахунок; die Nummer – номер<br><br>übermitteln – передавати; aktualisieren – оновлювати; verifizieren – перевіряти; speichern – зберігати; verschlüsseln – шифрувати<br><br>nummerieren – нумерувати<br><br>die IBAN – IBAN; die Kontokennung – ідентифікатор рахунку",Nomen
Konzert,"das Konzert, Konzerte, концерт<br><br>Wir besuchen heute ein Konzert. – Сьогодні ми відвідаємо концерт.<br><br><br><br>dirigieren – диригувати; aufführen – виконувати; veranstalten – організовувати; applaudieren – аплодувати; aufzeichnen – записувати<br><br>konzertieren – давати концерт<br><br>die Aufführung – виступ; das Live-Event – живий захід",Buch5 Folge2 Nomen
Krankenhaus,"das Krankenhaus, Krankenhäuser, лікарня<br><br>Er liegt im Krankenhaus. – Він лежить у лікарні.<br><br>das Krank – хворий; das Haus – будинок<br><br>einweisen – госпіталізувати; operieren – оперувати; pflegen – доглядати; entlassen – виписувати; besuchen – відвідувати<br><br>hospitalisieren – госпіталізувати<br><br>die Klinik – клініка; das Spital – шпиталь",Buch5 Folge2 Nomen
Krankheit,"die Krankheit, Krankheiten, хвороба<br><br>Diese Krankheit ist heilbar. – Ця хвороба лікується.<br><br><br><br>diagnostizieren – діагностувати; heilen – зцілювати; verhindern – запобігати; übertragen – передавати; lindern – полегшувати<br><br>erkranken – захворіти<br><br>die Erkrankung – захворювання; das Leiden – недуга",7DasPräteritumDerUnregelmäßigenVerben Nomen
Kredit,"der Kredit, Kredite, кредит<br><br>Ich beantrage einen Kredit. – Я подаю заявку на кредит.<br><br><br><br>gewähren – надавати; tilgen – погашати; verzinsen – нараховувати відсотки; sichern – забезпечувати; verlängern – продовжувати<br><br>kreditieren – кредитувати<br><br>das Darlehen – позика; die Finanzierung – фінансування",Nomen
Kreditkarte,"die Kreditkarte, Kreditkarten, кредитна картка<br><br>Ich zahle mit der Kreditkarte. – Я плачу кредитною карткою.<br><br>der Kredit – кредит; die Karte – картка<br><br>belasten – списувати; sperren – блокувати; kontaktlos zahlen – платити безконтактно; unterschreiben – підписувати; limitieren – обмежувати<br><br>kreditkartenzahlen – платити кредиткою<br><br>die VISA – «Віза»; die Plastikkarte – пластикова картка",Nomen
Kreuzfahrt,"die Kreuzfahrt, Kreuzfahrten, круїз<br><br>Wir buchen eine Kreuzfahrt. – Ми бронюємо круїз.<br><br>das Kreuz – хрест; die Fahrt – поїздка<br><br>ablegen – вирушати; ankommen – прибувати; entdecken – відкривати; genießen – насолоджуватися; anlegen – швартуватися<br><br>kreuzfahren – здійснювати круїз<br><br>die Seereise – морська подорож; die Cruise – круїз",Nomen
Kreuzfahrtschiff,"das Kreuzfahrtschiff, Kreuzfahrtschiffe, круїзний корабель<br><br>Das Kreuzfahrtschiff legt im Hafen an. – Круїзний корабель швартується в порту.<br><br>die Kreuzfahrt – круїз; das Schiff – корабель<br><br>ankern – кидати якір; manövrieren – маневрувати; tanken – заправляти; evakuieren – евакуювати<br><br>kreuzfahren – здійснювати круїз; schiffen – здійснювати плавання<br><br>das Passagierschiff – пасажирське судно; der Ozeandampfer – океанський лайнер",Nomen
Krimi,"der Krimi, Krimis, кримінальний фільм/роман<br><br>Ich lese abends gern einen spannenden Krimi. – Я люблю ввечері читати захопливий детектив.<br><br><br><br>ermitteln – розслідувати; verdächtigen – підозрювати; verhören – допитувати; aufklären – розкривати; observieren – спостерігати<br><br>kriminalisieren – криміналізувати<br><br>der Thriller – трилер; der Detektivroman – детективний роман",Buch5 Folge2 Nomen
Kriminalität,"die Kriminalität, –, злочинність<br><br>Die Kriminalität in der Stadt ist gesunken. – Злочинність у місті знизилася.<br><br><br><br>eskalieren – загострюватися; eindämmen – стримувати; überwachen – наглядати; ahnden – карати; senken – знижувати<br><br>kriminalisieren – криміналізувати<br><br>das Verbrechen – злочинність; die Delinquenz – девіантність",Buch5 Folge2 Nomen
Kriminalserie,"die Kriminalserie, Kriminalserien, кримінальний серіал<br><br>Die neue Kriminalserie fesselt das Publikum. – Новий кримінальний серіал захоплює глядачів.<br><br>die Kriminalität – злочинність; die Serie – серіал<br><br>ausstrahlen – транслювати; abonnieren – підписуватися; bingen – дивитися запоєм; cliffhangern – завершувати на кульмінації; rezensieren – рецензувати<br><br>serienmäßig produzieren – випускати серійно<br><br>die Crime-Serie – кримінальний серіал; das Detektivdrama – детективна драма",Buch5 Folge2 Nomen
Küche,"die Küche, Küchen, кухня<br><br>In der Küche riecht es nach frischem Brot. – На кухні пахне свіжим хлібом.<br><br><br><br>brutzeln – шкварчати; abschmecken – приправляти; garnieren – декорувати; pürieren – пюрирувати; dämpfen – готувати на парі<br><br>küchenisieren – облаштовувати кухонно<br><br>die Kochstube – кулінарна кімната; der Küchenraum – кухонне приміщення",Buch5 Folge2 Nomen
Kurs,"der Kurs, Kurse, курс (заняття)<br><br>Ich belege einen Deutschkurs. – Я записався на курс німецької мови.<br><br><br><br>belegen – записуватися; absolvieren – закінчувати; gestalten – оформлювати; evaluieren – оцінювати; fortschreiten – просуватися<br><br>kursieren – циркулювати<br><br>die Lehrveranstaltung – навчальний курс; das Seminar – семінар",Nomen
Kurve,"die Kurve, Kurven, поворот/крива<br><br>Das Auto nahm die Kurve zu schnell. – Автомобіль увійшов у поворот занадто швидко.<br><br><br><br>biegen – згинати; beschleunigen – прискорювати; driften – дріфтувати; stabilisieren – стабілізувати<br><br>kurven – петляти<br><br>die Biegung – вигин; die Schleife – петля",7DasPräteritumDerUnregelmäßigenVerben Nomen
Laptop,"der Laptop, Laptops, ноутбук<br><br>Mein Laptop startet in wenigen Sekunden. – Мій ноутбук запускається за кілька секунд.<br><br><br><br>hochfahren – запускати; aufklappen – відкривати; installieren – встановлювати; debuggen – дебажити; synchronisieren – синхронізувати<br><br>laptopen – працювати на ноутбуці<br><br>das Notebook – ноутбук; der Rechner – комп’ютер",13LeseverstehenZumPräteritum Nomen
Lehrbuch,"das Lehrbuch, Lehrbücher, підручник<br><br>Im Lehrbuch findest du viele Übungen. – У підручнику ти знайдеш багато вправ.<br><br>die Lehre – навчання; das Buch – книга<br><br>durcharbeiten – опрацьовувати; illustrieren – ілюструвати; zitieren – цитувати; korrigieren – коригувати; veranschaulichen – наочно пояснювати<br><br>lehren – навчати<br><br>das Schulbuch – шкільний підручник; der Leitfaden – путівник",Buch5 Folge2 Nomen
Lehrerin,"die Lehrerin, Lehrerinnen, вчителька<br><br>Die Lehrerin unterrichtet die Klasse. – Вчителька навчає клас.<br><br>die Lehre – навчання; -in – суфікс жіночої особи<br><br>unterrichten – викладати; bewerten – оцінювати; betreuen – опікуватися; anleiten – наставляти<br><br>lehren – навчати<br><br>die Lehrkraft – педагог; die Pädagogin – педагог",KontakteInformationenZurPerson
Leib,"der Leib, Leiber, тулуб<br><br>Der Leib schützt die inneren Organe. – Тулуб захищає внутрішні органи.<br><br><br><br>dehnen – розтягувати; stützen – підтримувати; krümmen – згинати; kräftigen – зміцнювати<br><br>einverleiben – приєднувати<br><br>der Körper – тіло; der Rumpf – тулуб",7DasPräteritumDerUnregelmäßigenVerben Nomen
Licht,"das Licht, Lichter, світло<br><br>Mach bitte das Licht aus. – Вимкни, будь ласка, світло.<br><br><br><br>erleuchten – освітлювати; anstrahlen – підсвічувати; dimmen – затемнювати; blenden – засліплювати<br><br>lichten – прояснювати<br><br>die Helligkeit – яскравість; der Schein – сяйво",7DasPräteritumDerUnregelmäßigenVerben Nomen
Lieblingsfilm,"der Lieblingsfilm, Lieblingsfilme, улюблений фільм<br><br>Mein Lieblingsfilm läuft heute im Kino. – Мій улюблений фільм сьогодні йде в кінотеатрі.<br><br>der Liebling – улюбленець; der Film – фільм<br><br>genießen – насолоджуватися; auswählen – обирати; vorführen – демонструвати; herunterladen – завантажувати<br><br>verfilmen – екранізувати<br><br>der Lieblingsstreifen – улюблена стрічка; der Favoritenfilm – обраний фільм",Buch5 Folge2 Nomen
Lieblingsserie,"die Lieblingsserie, Lieblingsserien, улюблений серіал<br><br>Ich schaue abends meine Lieblingsserie. – Я ввечері дивлюся свій улюблений серіал.<br><br>der Liebling – улюбленець; die Serie – серіал<br><br>weiterschauen – продовжувати дивитися; mitfiebern – співпереживати; spoilen – розкривати сюжет; pausieren – робити паузу<br><br>serialisieren – серіалізувати<br><br>die Lieblingsshow – улюблене шоу; das Lieblingsformat – улюблений формат",Buch5 Folge2 Nomen
Lied,"das Lied, Lieder, пісня<br><br>Das Lied klingt fröhlich. – Пісня звучить весело.<br><br><br><br>singen – співати; summen – наспівувати; komponieren – компонувати; downloaden – завантажувати; interpretieren – виконувати<br><br>besingen – оспівувати<br><br>der Song – пісня; die Weise – мелодія",Buch5 Folge2 Nomen
Lotto,"das Lotto, Lottos, лото<br><br>Am Samstag spiele ich Lotto. – У суботу я граю в лотерею.<br><br><br><br>tippen – робити ставку; wetten – парі; auslosen – розігрувати; jubeln – радіти<br><br>lottospielen – грати у лото<br><br>die Lotterie – лотерея",Nomen
Lottotipp,"der Lottotipp, Lottotipps, порада для лото<br><br>Er gab mir einen guten Lottotipp. – Він дав мені хорошу пораду для лото.<br><br>das Lotto – лото; der Tipp – порада<br><br>vorschlagen – пропонувати; abgeben – подавати; prüfen – перевіряти; verwenden – використовувати<br><br>tippgeben – давати пораду<br><br>der Spieltipp – порада для гри",Nomen
Lottoziehung,"die Lottoziehung, Lottoziehungen, розіграш лото<br><br>Die Lottoziehung wird live übertragen. – Розіграш лото транслюється наживо.<br><br>das Lotto – лото; die Ziehung – жеребкування<br><br>übertragen – транслювати; zuschauen – спостерігати; notieren – занотовувати; auswerten – аналізувати<br><br>ziehen – тягнути жереб<br><br>die Auslosung – жеребкування; das Ziehungsereignis – подія розіграшу",Nomen
Lumpen,"der Lumpen, Lumpen, ганчірка<br><br>Mit dem Lumpen wische ich den Boden. – Я витираю підлогу ганчіркою.<br><br><br><br>putzen – чистити; auswringen – віджимати; zerreißen – розривати; einweichen – замочувати; trocknen – сушити<br><br>verlumpten – обтріпуватися<br><br>der Putzlappen – ганчірка; das Tuch – тканина",7DasPräteritumDerUnregelmäßigenVerben Nomen
Lust,"die Lust, Lüste, бажання<br><br>Ich habe Lust auf Schokolade. – Маю бажання до шоколаду.<br><br><br><br>verspüren – відчувати; stillen – задовольняти; empfinden – відчувати; nachgeben – поступатися<br><br>gelüsten – жадати<br><br>das Vergnügen – задоволення; die Laune – настрій",Buch5 Folge2 Nomen
Mail,"die Mail, Mails, електронний лист<br><br>Ich schicke dir gleich eine Mail. – Я зараз надішлю тобі листа.<br><br><br><br>schicken – надсилати; weiterleiten – переспрямовувати; anhängen – додавати вкладення; archivieren – архівувати; markieren – позначати<br><br>mailen – листуватися електронно<br><br>die E-Mail – електронний лист; die Nachricht – повідомлення",13LeseverstehenZumPräteritum Nomen
Mann,"der Mann, Männer, чоловік<br><br>Der Mann liest die Zeitung. – Чоловік читає газету.<br><br><br><br>beschützen – захищати; versorgen – забезпечувати; arbeiten – працювати; entscheiden – вирішувати; wandern – мандрувати пішки<br><br>sich vermännlichen – ставати чоловічим<br><br>der Herr – пан; der Kerl – хлопець",KontakteInformationenZurPerson
Märchen,"das Märchen, Märchen, казка<br><br>Das Märchen hat ein glückliches Ende. – Казка має щасливий кінець.<br><br><br><br>verzaubern – чарувати; moralisieren – моралізувати; abschrecken – відлякувати; begeistern – захоплювати; fantasieren – фантазувати<br><br>märchenhaft werden – ставати казковим<br><br>die Sage – легенда; die Erzählung – оповідка",Buch5 Folge2 Nomen
Marketing,"das Marketing, –, маркетинг<br><br>Gutes Marketing steigert den Umsatz. – Гарний маркетинг збільшує продажі.<br><br><br><br>segmentieren – сегментувати; positionieren – позиціювати; lancieren – запускати; optimieren – оптимізувати; targetieren – таргетувати<br><br>vermarkten – просувати на ринку<br><br>die Vermarktung – просування; die Absatzförderung – стимулювання збуту",KontakteInformationenZurPerson
Medikament,"das Medikament, Medikamente, ліки<br><br>Nimm das Medikament dreimal täglich. – Приймай ліки тричі на день.<br><br><br><br>verschreiben – призначати; einnehmen – приймати; dosieren – дозувати; wirken – діяти; absetzen – припиняти прийом<br><br>medikamentieren – лікувати медикаментами<br><br>das Arzneimittel – лікарський засіб; die Medizin – ліки",13LeseverstehenZumPräteritum Nomen
Meer,"das Meer, Meere, море<br><br>Das Meer glitzert im Sonnenlicht. – Море блищить під сонячним світлом.<br><br><br><br>baden – купатися; segeln – плавати під вітрилами; wogen – здійматися хвилями; rauschen – шуміти; ertrinken – тонути<br><br>vermeeren – збільшуватися як море<br><br>die See – море; der Ozean – океан",7DasPräteritumDerUnregelmäßigenVerben Nomen
Mensch,"der Mensch, Menschen, людина<br><br>Der Mensch denkt, Gott lenkt. – Людина планує, а Бог керує.<br><br><br><br>existieren – існувати; reflektieren – міркувати; irren – помилятися; altern – старіти; träumen – мріяти<br><br>vermenschlichen – очеловічувати<br><br>die Person – особа; das Individuum – індивід",Nomen StellenaziegeMechatroniker
Messe,"die Messe, Messen, виставка<br><br>Die Firma präsentiert ihr Produkt auf der Messe. – Компанія представляє свій продукт на виставці.<br><br><br><br>akquirieren – залучати клієнтів; netzwerken – налагоджувати контакти; exponieren – експонувати; registrieren – реєструвати; aushandeln – узгоджувати<br><br>messebesuchen – відвідувати виставку<br><br>die Ausstellung – виставка; die Fachschau – спеціальна виставка",KontakteInformationenZurPerson
Miete,"die Miete, Mieten, орендна плата<br><br>Die Miete ist zum Ersten fällig. – Орендна плата сплачується першого числа.<br><br><br><br>entrichten – сплачувати; anpassen – коригувати; kündigen – розривати; indexieren – індексувати; verrechnen – зараховувати<br><br>mieten – орендувати<br><br>das Mietgeld – орендна плата; die Pacht – оренда",Nomen
Milch,"die Milch, , молоко<br><br>Frische Milch steht im Kühlschrank. – Свіже молоко у холодильнику.<br><br><br><br>melken – доїти; pasteurisieren – пастеризувати; aufschäumen – збивати піну; gerinnen – згортатися; verdünnen – розбавляти<br><br>milchig werden – мутніти<br><br>das Getränk – напій; die Kuhmilch – коров’яче молоко",7DasPräteritumDerUnregelmäßigenVerben Nomen
Million,"die Million, Millionen, мільйон<br><br>Eine Million Menschen leben hier. – Один мільйон людей живе тут.<br><br><br><br>akkumulieren – накопичувати; anlegen – вкладати; erwirtschaften – заробляти; verprassen – розтринькувати<br><br>millionieren – підраховувати у мільйонах<br><br>die Megasumme – велика сума",Nomen
Minute,"die Minute, Minuten, хвилина<br><br>Warte bitte eine Minute. – Почекай, будь ласка, хвилину.<br><br><br><br>verstreichen – минати; stoppen – зупиняти; abzählen – відраховувати; timen – засікати<br><br>minutieren – записувати по хвилинах<br><br>die 60 Sekunden – шістдесят секунд",Buch5 Folge2 Nomen
Mitarbeiter,"der Mitarbeiter, Mitarbeiter, співробітник<br><br>Jeder Mitarbeiter erhält Zugangsdaten. – Кожен співробітник отримує дані доступу.<br><br><br><br>rekrutieren – набирати; delegieren – делегувати; befördern – підвищувати; evaluieren – оцінювати<br><br>mitarbeiten – співпрацювати<br><br>der Angestellte – працівник",KontakteInformationenZurPerson
Mitarbeiterrabatt,"der Mitarbeiterrabatt, Mitarbeiterrabatte, знижка для персоналу<br><br>Nutze deinen Mitarbeiterrabatt beim Einkauf. – Скористайся знижкою для персоналу під час покупки.<br><br>der Mitarbeiter – співробітник; der Rabatt – знижка<br><br>gewähren – надавати; ausschöpfen – використовувати повністю; verrechnen – зараховувати<br><br>rabattieren – робити знижку<br><br>der Personalrabatt – персональна знижка",Nomen StellenaziegeMechatroniker
Mittelmeer,"das Mittelmeer, Mittelmeere, Середземне море<br><br>Wir segeln übers Mittelmeer. – Ми пливемо під вітрилами Середземним морем.<br><br>das Mittel – середина; das Meer – море<br><br>besegeln – обпливати; baden – купатися; sonnen – засмагати; tauchen – пірнати<br><br><br><br>die Mittelmeerküste – середземноморське узбережжя",7DasPräteritumDerUnregelmäßigenVerben Nomen
Mob,"der Mob, Mobs, натовп (буйний)<br><br>Der Mob stürmte das Gebäude. – Натовп штурмував будівлю.<br><br><br><br>randalieren – вчиняти безлади; plündern – грабувати; skandieren – скандувати; zerstreuen – розганяти<br><br>mobben – цькувати<br><br>die Horde – орда",7DasPräteritumDerUnregelmäßigenVerben Nomen
Motivation,"die Motivation, Motivationen, мотивація<br><br>Hohe Motivation führt zu besseren Ergebnissen. – Висока мотивація веде до кращих результатів.<br><br><br><br>anregen – стимулювати; erzeugen – породжувати; aufrechterhalten – підтримувати; erlahmen – слабшати<br><br>motivieren – мотивувати<br><br>der Antrieb – поштовх",Nomen StellenaziegeMechatroniker
Müll,"der Müll, Müll, сміття<br><br>Müll gehört in die Tonne. – Сміття слід викидати у бак.<br><br><br><br>recyclen – переробляти; deponieren – складувати; verbrennen – спалювати; kompostieren – компостувати<br><br>vermüllen – засмічувати<br><br>der Abfall – відходи",Buch5 Folge2 Nomen
Musik,"die Musik, Musiken, музика<br><br>Musik entspannt die Seele. – Музика розслабляє душу.<br><br><br><br>lauschen – прислухатися; dirigieren – диригувати; sampeln – семплювати; rhythmieren – ритмувати<br><br>musizieren – займатися музикою<br><br>der Klang – звук",Buch5 Folge2 Nomen
Musiker,"der Musiker, Musiker, музикант<br><br>Der Musiker probt im Studio. – Музикант репетирує у студії.<br><br>die Musik – музика; der -er – діяч<br><br>proben – репетирувати; auftreten – виступати; improvisieren – імпровізувати; touren – гастролювати<br><br>musizieren – займатися музикою<br><br>der Musikant – музикант",Buch5 Folge2 Nomen
Mutter,"die Mutter, Mütter, мати<br><br>Meine Mutter kocht das Abendessen. – Моя мама готує вечерю.<br><br><br><br>stillen – годувати грудьми; trösten – втішати; erziehen – виховувати; umsorgen – піклуватися<br><br>muttern – опікати як мати<br><br>die Mama – мама",7DasPräteritumDerUnregelmäßigenVerben Nomen
Nachbarschaft,"die Nachbarschaft, Nachbarschaften, сусідство<br><br>Unsere Nachbarschaft ist sehr ruhig. – Наше сусідство дуже тихе.<br><br>der Nachbar – сусід<br><br>pflegen – доглядати; beleben – оживляти; erkunden – досліджувати; stärken – зміцнювати; gestalten – формувати<br><br>benachbarn – межувати<br><br>das Viertel – квартал; die Umgebung – околиці",13LeseverstehenZumPräteritum Nomen
