Front,Back,Tags
brennen,"brenne - brennst - brennt - brennen - brennt - brennen<br><br>brannte - branntest - brannte - brannten - branntet - brannten<br><br>man hat gebrannt<br><br>A<br><br>горіти; спалювати<br><br>Das Haus brennt. = Будинок горить.<br><br><br><br>lodern – палахкотіти<br>glühen – тліти",B1 StarkeVerb Verb
bauen,"baue - baust - baut - bauen - baut - bauen<br><br>baute - bautest - baute - bauten - bautet - bauten<br><br>man hat gebaut<br><br>D+A<br><br>будувати<br><br>Wir bauen ein Haus. = Ми будуємо будинок.<br><br><br><br>errichten – споруджувати<br>konstruieren – конструювати",Verb VerbMitDativUndAkkusativObjekt
beachten,"beachte - beachtest - beachtet - beachten - beachtet - beachten<br><br>beachtete - beachtetest - beachtete - beachteten - beachtetet - beachteten<br><br>man hat beachtet<br><br>A<br><br>звертати увагу<br><br>Beachte bitte die Regeln. = Зверни увагу на правила.<br><br><br><br>berücksichtigen – брати до уваги<br>bedenken – обдумувати",Verb VerbMitDativUndAkkusativObjekt
beantragen,"beantrage - beantragst - beantragt - beantragen - beantragt - beantragen<br><br>beantragte - beantragtest - beantragte - beantragten - beantragtet - beantragten<br><br>man hat beantragt<br><br>A<br><br>подавати заяву; просити офіційно<br><br>beantrage Urlaub. = Я подаю заяву на відпустку.<br><br><br><br>anfordern – запитувати<br>verlangen – вимагати",Verb VerbMitDativUndAkkusativObjekt
beantworten,"beantworte - beantwortest - beantwortet - beantworten - beantwortet - beantworten<br><br>beantwortete - beantwortetest - beantwortete - beantworteten - beantwortetet - beantworteten<br><br>man hat beantwortet<br><br>D+A<br><br>відповідати (на питання)<br><br>beantworte die Frage. = Я відповідаю на запитання.<br><br><br><br>erwidern – відповісти<br>reagieren – реагувати",Verb VerbMitDativUndAkkusativObjekt
bedeuten,"bedeute - bedeutest - bedeutet - bedeuten - bedeutet - bedeuten<br><br>bedeutete - bedeutetest - bedeutete - bedeuteten - bedeutetet - bedeuteten<br><br>man hat bedeutet<br><br>A<br><br>означати<br><br>Das Wort bedeutet Freund. = Це слово означає «друг».<br><br><br><br>heißen – означати<br>anzeigen – показувати",Verb
bedienen,"bediene - bedienst - bedient - bedienen - bedient - bedienen<br><br>bediente - bedientest - bediente - bedienten - bedietet - bedienten<br><br>man hat bedient<br><br>D+A<br><br>обслуговувати; користуватися<br><br>bediene die Maschine. = Я обслуговую машину.<br><br><br><br>handhaben – оперувати<br>nutzen – користуватися",Verb VerbMitDativUndAkkusativObjekt
beenden,"beende - beendest - beendet - beenden - beendet - beenden<br><br>beendete - beendetest - beendete - beendeten - beendetet - beendeten<br><br>man hat beendet<br><br><br><br>закінчувати<br><br>Wir beenden das Meeting. = Ми закінчуємо зустріч.<br><br><br><br>abschließen – завершувати<br>aufhören – припиняти",StellenaziegeMechatroniker Verb
befehlen,"befehle - befiehlst - befiehlt - befehlen - befehlt - befehlen<br><br>befahl - befahlst - befahl - befahlen - befahlt - befahlen<br><br>man hat befohlen<br><br>D+A<br><br>наказувати<br><br>Der General befiehlt den Truppen. = Генерал дає наказ військам.<br><br><br><br>anordnen – наказувати<br>verfügen – розпоряджатися",B1 StarkeVerb Verb
begegnen,"begegne - begegnest - begegnet - begegnen - begegnet - begegnen<br><br>begegnete - begegnetest - begegnete - begegneten - begegnetet - begegneten<br><br>man ist begegnet<br><br>D+A<br><br>зустрічати (неочікувано)<br><br>begegne ihr oft im Park. = Я часто зустрічаю її в парку.<br><br><br><br>treffen – зустрічати<br>begegnen – натика́тися",Verb VerbMitDativUndAkkusativObjekt
beginnen,"beginne - beginnst - beginnt - beginnen - beginnt - beginnen<br><br>begann - begannst - begann - begannen - begannt - begannen<br><br>man hat begonnen<br><br><br><br>починати<br><br>Der Kurs beginnt um neun Uhr. = Курс починається о дев’ятій.<br><br><br><br>anfangen – починати<br>beginnen – стартувати",A1 StarkeVerb Verb
begründen,"begründe - begründest - begründet - begründen - begründet - begründen<br><br>begründete - begründetest - begründete - begründeten - begründetet - begründeten<br><br>man hat begründet<br><br>D+A<br><br>обґрунтовувати<br><br>Bitte begründe deine Entscheidung. = Будь ласка, обґрунтуй своє рішення.<br><br><br><br>erklären – пояснювати<br>begründen – мотивувати",Verb VerbMitDativUndAkkusativObjekt
begrüßen,"begrüße - begrüßest - begrüßt - begrüßen - begrüßt - begrüßen<br><br>begrüßte - begrüßtest - begrüßte - begrüßten - begrüßtet - begrüßten<br><br>man hat begrüßt<br><br>D+A<br><br>вітати<br><br>Wir begrüßen die Gäste herzlich. = Ми щиро вітаємо гостей.<br><br><br><br>heißen willkommen – вітати<br>begrüßen – зустрічати",Verb VerbMitDativUndAkkusativObjekt
behalten,"behalte - behältst - behält - behalten - behaltet - behalten<br><br>behielt - behieltest - behielt - behielten - behieltet - behielten<br><br>man hat behalten<br><br>D+A<br><br>зберігати; залишати<br><br>behalte den Gutschein. = Я залишаю собі купон.<br><br><br><br>bewahren – зберігати<br>behalten – тримати",Verb VerbMitDativUndAkkusativObjekt
behandeln,"behandle - behandelst - behandelt - behandeln - behandelt - behandeln<br><br>behandelte - behandeltest - behandelte - behandelten - behandeltet - behandelten<br><br>man hat behandelt<br><br>A<br><br>лікувати; розглядати<br><br>Der Arzt behandelt den Patienten. = Лікар лікує пацієнта.<br><br><br><br>pflegen – доглядати<br>behandeln – опрацьовувати",Verb
beißen,"beiße - beißt - beißt - beißen - beißt - beißen<br><br>biss - bissest - biss - bissen - bisset - bissen<br><br>man hat gebissen<br><br>A<br><br>кусати<br><br>Der Hund beißt den Knochen. = Собака кусає кістку.<br><br><br><br>nagen – гризти<br>beißen – кусати",B1 StarkeVerb Verb
bekommen,"bekomme - bekommst - bekommt - bekommen - bekommt - bekommen<br><br>bekam - bekamst - bekam - bekamen - bekamt - bekamen<br><br>man hat bekommen<br><br>D+A<br><br>отримувати<br><br>bekomme morgen Post. = Я отримаю завтра пошту.<br><br><br><br>erhalten – отримувати<br>bekommen – здобувати",Verb
bemerken,"merke – merkst – merkt – merken – merkt – merken<br><br>bemerkte – bemerktest – bemerkte – bemerkten – bemerktet – bemerkten<br><br>man hat bemerkt<br><br>A<br><br>помічати<br><br>merke den Fehler. = Я помічаю помилку.<br><br>merken – помічати<br><br><br><br>feststellen – встановлювати<br>wahrnehmen – сприймати",Verb VerbMitDativUndAkkusativObjekt
benutzen,"benutze – benutzt – benutzt – benutzen – benutzt – benutzen<br><br>benutzte – benutztest – benutzte – benutzten – benutztet – benutzten<br><br>man hat benutzt<br><br>D+A<br><br>використовувати<br><br>benutze den Computer. = Я використовую комп’ютер.<br><br>nutzen – використовувати<br><br>abnutzen – зношувати<br><br>verwenden – використовувати<br>anwenden – застосовувати",Verb VerbMitDativUndAkkusativObjekt
beraten,"berate – berätst – berät – beraten – beratet – beraten<br><br>beriet – berietest – beriet – berieten – berietet – berieten<br><br>man hat beraten<br><br>D+A<br><br>консультувати<br><br>berate den Kunden. = Я консультував клієнта.<br><br>raten – радити<br><br><br><br>empfehlen – рекомендувати<br>hinweisen – вказувати",Verb VerbMitDativUndAkkusativObjekt
bergen,"berge – birgst – birgt – bergen – bergt – bergen<br><br>barg – bargst – barg – bargen – barget – bargen<br><br>man hat geborgen<br><br>A<br><br>рятувати; зберігати<br><br>berge das Wrack. = Я піднімаю затонулий корабель.<br><br><br><br><br><br>retten – рятувати<br>sichern – зберігати",B2 StarkeVerb Verb
berichten,"berichte – berichtest – berichtet – berichten – berichtet – berichten<br><br>berichtete – berichtetest – berichtete – berichteten – berichtetet – berichteten<br><br>man hat berichtet<br><br>D+A<br><br>повідомляти<br><br>berichte Ihnen die Neuigkeiten. = Я повідомляю вам новини.<br><br>richten – направляти<br><br>berichten über – повідомляти про<br><br>melden – повідомляти<br>informieren – інформувати",Verb
berichten über,"berichte - berichtest - berichtet - berichten - berichtet - berichten<br><br>berichtete - berichtetest - berichtete - berichteten - berichtetet - berichteten<br><br>man hat berichtet<br><br>A<br><br>повідомляти про<br><br>berichte über das Ereignis. = Я повідомляю про подію.<br><br><br><br>melden – повідомляти<br>informieren – інформувати",Verb VerbMitFestenPraposition
bersten,"berste - birst - birst - bersten - berst - bersten<br><br>barst - barst - barst - barsten - barst - barsten<br><br>man ist geborsten<br><br><br><br>тріскатися; вибухати<br><br>Das Rohr berstet. = Труба тріскається.<br><br><br><br>platzen – луснути",C2 StarkeVerb Verb
berücksichtigen,"berücksichtige - berücksichtigst - berücksichtigt - berücksichtigen - berücksichtigt - berücksichtigen<br><br>berücksichtigte - berücksichtigtest - berücksichtigte - berücksichtigten - berücksichtigtet - berücksichtigten<br><br>man hat berücksichtigt<br><br>D+A<br><br>брати до уваги<br><br>berücksichtige deine Meinung. = Я беру до уваги твою думку.<br><br><br><br>beachten – звертати увагу<br>bedenken – обдумувати",Verb VerbMitDativUndAkkusativObjekt
beruhigen,"beruhige - beruhigst - beruhigt - beruhigen - beruhigt - beruhigen<br><br>beruhigte - beruhigtest - beruhigte - beruhigten - beruhigtet - beruhigten<br><br>man hat beruhigt<br><br>D+A<br><br>заспокоювати<br><br>beruhige das Kind. = Я заспокоюю дитину.<br><br><br><br>ruhigen – заспокоювати<br><br>besänftigen – заспокоювати",Verb VerbMitDativUndAkkusativObjekt
beschäftigen,"beschäftige - beschäftigst - beschäftigt - beschäftigen - beschäftigt - beschäftigen<br><br>beschäftigte - beschäftigtest - beschäftigte - beschäftigten - beschäftigtet - beschäftigten<br><br>man hat beschäftigt<br><br>D+A<br><br>займати когось<br><br>beschäftige die Kinder. = Я зайняв дітей.<br><br><br><br>ablenken – відвертати увагу",13LeseverstehenZumPräteritum Verb
beschreiben,"beschreibe - beschreibst - beschreibt - beschreiben - beschreibt - beschreiben<br><br>beschrieb - beschriebst - beschrieb - beschrieben - beschriebt - beschrieben<br><br>man hat beschrieben<br><br>A<br><br>описувати<br><br>beschreibe das Bild. = Я описую картину.<br><br><br><br>schreiben – писати<br><br>umschreiben – переписувати<br>anschreiben – записувати<br><br>darstellen – зображати<br>schildern – описувати",Verb
beschützen,"beschütze - beschützt - beschützt - beschützen - beschützt - beschützen<br><br>beschützte - beschütztest - beschützte - beschützten - beschützet - beschützten<br><br>man hat beschützt<br><br>D+A<br><br>захищати<br><br>beschütze meine Familie. = Я захищаю свою родину.<br><br><br><br>schützen – захищати<br><br>verteidigen – захищати",Verb
besichtigen,"besichtige - besichtigst - besichtigt - besichtigen - besichtigt - besichtigen<br><br>besichtigte - besichtigtest - besichtigte - besichtigten - besichtigtet - besichtigten<br><br>man hat besichtigt<br><br>D+A<br><br>оглядати (місце)<br><br>Wir besichtigen das Schloss. = Ми оглядаємо замок.<br><br><br><br>besuchen – відвідувати<br>anschauen – дивитися",Verb VerbMitDativUndAkkusativObjekt
besitzen,"besitze - besitzt - besitzt - besitzen - besitzt - besitzen<br><br>besaß - besaßest - besaß - besaßen - besaßt - besaßen<br><br>man hat besessen<br><br>D+A<br><br>володіти<br><br>besitze ein Auto. = Я володію автомобілем.<br><br><br><br>haben – мати",Verb VerbMitDativUndAkkusativObjekt
besorgen,"besorge - besorgst - besorgt - besorgen - besorgt - besorgen<br><br>besorgte - besorgtest - besorgte - besorgten - besorgtet - besorgten<br><br>man hat besorgt<br><br>A<br><br>дбати; купувати<br><br>besorge Brot. = Я купую хліб.<br><br><br><br>sorgen – піклуватися<br><br>kaufen – купувати",Verb
besprechen,"bespreche - besprichst - bespricht - besprechen - besprecht - besprechen<br><br>besprach - besprachst - besprach - besprachen - bespracht - besprachen<br><br>man hat besprochen<br><br>A<br><br>обговорювати<br><br>Wir besprechen das Thema. = Ми обговорюємо тему.<br><br><br><br>sprechen – говорити<br><br>ansprechen – звертатися<br>aussprechen – вимовляти<br><br>diskutieren – обговорювати",Buch5 Folge2 Verb
bestehen,"bestehe - bestehst - besteht - bestehen - besteht - bestehen<br><br>bestand - bestandst - bestand - bestanden - bestandet - bestanden<br><br>man hat bestanden<br><br><br><br>існувати; складати (екзамен)<br><br>bestehe die Prüfung. = Я складаю іспит.<br><br><br><br>schaffen – справлятися",Verb
bestehen aus,"bestehe aus - bestehst aus - besteht aus - bestehen aus - besteht aus - bestehen aus<br><br>bestand aus - bestandst aus - bestand aus - bestanden aus - bestandet aus - bestanden aus<br><br>man hat aus bestanden<br><br><br><br>складатися з<br><br>Das Team besteht aus zehn Personen. = Команда складається з десяти осіб.<br><br><br><br>umfassen – включати",leech Verb VerbMitFestenPraposition
bestimmen,"bestimme - bestimmst - bestimmt - bestimmen - bestimmt - bestimmen<br><br>bestimmte - bestimmtest - bestimmte - bestimmten - bestimmtet - bestimmten<br><br>man hat bestimmt<br><br>D+A<br><br>визначати<br><br>bestimme den Termin. = Я визначаю дату.<br><br><br><br>festlegen – встановлювати",Verb VerbMitDativUndAkkusativObjekt
besuchen,"besuche - besuchst - besucht - besuchen - besucht - besuchen<br><br>besuchte - besuchtest - besuchte - besuchten - besuchtet - besuchten<br><br>man hat besucht<br><br>D+A<br><br>відвідувати<br><br>besuche meine Großmutter. = Я відвідую свою бабусю.<br><br><br><br>aufsuchen – відвідувати",Verb VerbMitDativUndAkkusativObjekt
betrügen,"betrüge - betrügst - betrügt - betrügen - betrügt - betrügen<br><br>betrog - betrogst - betrog - betrogen - betrogt - betrogen<br><br>man hat betrogen<br><br>D+A<br><br>обманювати<br><br>Er betrügt seine Firma. = Він обманює свою компанію.<br><br><br><br>täuschen – обманювати",Verb VerbMitDativUndAkkusativObjekt
bewegen,"bewege - bewegst - bewegt - bewegen - bewegt - bewegen<br><br>bewegte - bewegtest - bewegte - bewegten - bewegtet - bewegten<br><br>man hat bewegt<br><br>A<br><br>рухати; хвилювати<br><br>bewege den Stuhl. = Я рухаю стілець.<br><br><br><br>verschieben – переміщувати",Buch5 Folge2 Verb
beweisen,"beweise - beweist - beweist - beweisen - beweist - beweisen<br><br>bewies - bewiesest - bewies - bewiesen - bewieset - bewiesen<br><br>man hat bewiesen<br><br>D+A<br><br>доводити<br><br>beweise meine Theorie. = Я доводжу свою теорію.<br><br><br><br>nachweisen – засвідчувати<br>demonstrieren – демонструвати",Verb VerbMitDativUndAkkusativObjekt
bezahlen,"bezahle - bezahlst - bezahlt - bezahlen - bezahlt - bezahlen<br><br>bezahlte - bezahltest - bezahlte - bezahlten - bezahltet - bezahlten<br><br>man hat bezahlt<br><br>A<br><br>платити<br><br>bezahle die Rechnung. = Я плачу рахунок.<br><br><br><br>zahlen – платити<br>begleichen – погашати",Verb
biegen,"biege - biegst - biegt - biegen - biegt - biegen<br><br>bog - bogst - bog - bogen - bogt - bogen<br><br>man hat gebogen<br><br>A<br><br>гнути<br><br>biege das Rohr. = Я гну трубу.<br><br><br><br>verbiegen – згинати",A2 StarkeVerb Verb
bieten,"biete - bietest - bietet - bieten - bietet - bieten<br><br>bot - botst - bot - boten - botet - boten<br><br>man hat geboten<br><br>D+A<br><br>пропонувати<br><br>biete dir Hilfe. = Я пропоную тобі допомогу.<br><br><br><br>anbieten – пропонувати<br>spenden – жертвувати",A2 StarkeVerb Verb
bilden,"bilde - bildest - bildet - bilden - bildet - bilden<br><br>bildete - bildetest - bildete - bildeten - bildetet - bildeten<br><br>man hat gebildet<br><br>A<br><br>утворювати<br><br>Wir bilden einen Kreis. = Ми утворюємо коло.<br><br><br><br>formen – формувати<br>erschaffen – створювати",7DasPräteritumDerUnregelmäßigenVerben Verb
binden,"binde - bindest - bindet - binden - bindet - binden<br><br>band - bandst - band - banden - bandet - banden<br><br>man hat gebunden<br><br>D+A<br><br>зв’язувати<br><br>binde das Paket. = Я зв’язую пакет.<br><br><br><br>verbinden – з’єднувати",B1 StarkeVerb Verb
bitten,"bitte - bittest - bittet - bitten - bittet - bitten<br><br>bat - batst - bat - baten - batet - baten<br><br>man hat gebeten<br><br>D+A<br><br>просити<br><br>bitte dum Hilfe. = Я прошу тебе про допомогу.<br><br><br><br>anfragen – запитувати",A2 StarkeVerb Verb
bitten um,"bitte um - bittest um - bittet um - bitten um - bittest um - bittest um<br><br>bat um - batst um - bat um - baten um - batet um - baten um<br><br>man hat um gebeten<br><br>A<br><br>просити про<br><br>bitte um Verzeihung. = Я прошу вибачення.<br><br><br><br>ersuchen um – просити про",Verb VerbMitFestenPraposition
blasen,"blase - bläst - bläst - blasen - blast - blasen<br><br>blies - bliesest - blies - bliesen - bliest - bliesen<br><br>man hat geblasen<br><br>A<br><br>дмухати<br><br>blase die Kerze aus. = Я задуваю свічку.<br><br><br><br>pusten – дути",B2 StarkeVerb Verb
bleiben,"bleibe - bleibst - bleibt - bleiben - bleibt - bleiben<br><br>blieb - bliebst - blieb - blieben - bliebt - blieben<br><br>man ist geblieben<br><br><br><br>залишатися<br><br>bleibe zu Hause. = Я залишаюся вдома.<br><br><br><br>verweilen – перебувати",A1 StarkeVerb Verb
bleichen,"bleiche - bleichst - bleicht - bleichen - bleicht - bleichen<br><br>bleichte - bleichtest - bleichte - bleichten - bleichtet - bleichten<br><br>man hat gebleicht<br><br>A<br><br>відбілювати<br><br>bleiche die Wäsche. = Я відбілюю білизну.<br><br><br><br>aufhellen – висвітлювати<br>entfärben – знебарвлювати",C2 StarkeVerb Verb
braten,"brate - brätst - brät - braten - bratet - braten<br><br>briet - brietest - briet - brieten - brietet - brieten<br><br>man hat gebraten<br><br>A<br><br>смажити<br><br>brate ein Steak. = Я смажу стейк.<br><br><br><br>frittieren – смажити у фритюрі<br>anbraten – підсмажувати",A2 StarkeVerb Verb
brauchen,"brauche - brauchst - braucht - brauchen - braucht - brauchen<br><br>brauchte - brauchtest - brauchte - brauchten - brauchtet - brauchten<br><br>man hat gebraucht<br><br>A<br><br>потребувати<br><br>brauche Wasser. = Мені потрібна вода.<br><br><br><br>benötigen – потребувати",Verb
dauern,"dauere - dauerst - dauert - dauern - dauert - dauern<br><br>dauerte - dauertet - dauerte - dauerten - dauertet - dauerten<br><br>man hat gedauert<br><br><br><br>тривати<br><br>Die Veranstaltung dauert zwei Stunden. = Захід триває дві години.<br><br><br><br>andauern - тривати<br>fortdauern - тривати<br><br><br>shinziehen - затягуватися",Verb
denken,"denke - denkst - denkt - denken - denkt - denken<br><br>dachte - dachtest - dachte - dachten - dachtet - dachten<br><br>man hat gedacht<br><br><br><br>думати<br><br>denke oft an dich. = Я часто про тебе думаю.<br><br><br><br>nachdenken - розмірковувати<br>überdenken - переосмислювати<br><br><br>meinen - вважати",Verb
denken an,"denke an - denkst an - denkt an - denken an - denkt an - denken an<br><br>dachte an - dachtest an - dachte an - dachten an - dachtet an - dachten an<br><br>man hat an gedacht<br><br><br><br>думати про<br><br>denke an meinen Urlaub. = Я думаю про відпустку.<br><br><br><br>denken - думати<br>andenken an - згадувати про<br><br><br>nachsinnen über - роздумувати",Verb VerbMitFestenPraposition
dienen,"diene - dienst - dient - dienen - dient - dienen<br><br>diente - dientest - diente - dienten - dientet - dienten<br><br>man hat gedient<br><br>D+A<br><br>служити; бути корисним<br><br>Der Stuhl dient als Ablage. = Стілець служить як підставка.<br><br><br><br>nützen - бути корисним<br>bedienen - обслуговувати",Verb VerbMitDativUndAkkusativObjekt
diskutieren,"diskutiere - diskutierst - diskutiert - diskutieren - diskutiert - diskutieren<br><br>diskutierte - diskutiertest - diskutierte - diskutierten - diskutiertet - diskutierten<br><br>man hat diskutiert<br><br><br><br>дискутувати<br><br>Wir diskutieren das Thema. = Ми дискутуємо на тему.<br><br><br><br>erörtern - обговорювати<br>besprechen - обговорювати",Verb
diskutieren über,"diskutiere über - diskutierst über - diskutiert über - diskutieren über - diskutiert über - diskutieren über<br><br>diskutierte über - diskutiertest über - diskutierte über - diskutierten über - diskutiertet über - diskutierten über<br><br>man hat über diskutiert<br><br><br><br>дискутувати про<br><br>Wir diskutieren über Politik. = Ми дискутуємо про політику.<br><br><br><br>sprechen über - говорити про<br>reden über - говорити про",Verb VerbMitFestenPraposition
drehen,"drehe - drehst - dreht - drehen - dreht - drehen<br><br>drehte - drehtest - drehte - drehten - drehtet - drehten<br><br>man hat gedreht<br><br>D+A<br><br>крутити; знімати (фільм)<br><br>drehe den Knopf. = Я повертаю ручку.<br><br><br><br>wenden - повертати<br>filmen - знімати",Verb VerbMitDativUndAkkusativObjekt
dreschen,"dresche - drischst - drischt - dreschen - drescht - dreschen<br><br>drosch - droschtest - drosch - droschen - droscht - droschen<br><br>man hat gedroschen<br><br><br><br>тесати; молотити<br><br>Der Bauer drescht das Getreide. = Фермер молотить зерно.<br><br><br><br>schroten - дробити<br>hämmern - забивати",C2 StarkeVerb Verb
dringen,"dringe - dringst - dringt - dringen - dringt - dringen<br><br>drang - drangst - drang - drangen - drangt - drangen<br><br>man ist gedrungen<br><br><br><br>проникати; наполягати<br><br>Er dringt in den Raum. = Він проникає в кімнату.<br><br><br><br>eindringen - проникати<br>bestehen auf - наполягати",C1 StarkeVerb Verb
drucken,"drucke - druckst - druckt - drucken - druckt - drucken<br><br>druckte - drucktest - druckte - druckten - drucktet - druckten<br><br>man hat gedruckt<br><br>D+A<br><br>друкувати<br><br>drucke das Dokument. = Я друкую документ.<br><br><br><br>drucken - відтискати<br>ausdrucken - роздруковувати",Verb VerbMitDativUndAkkusativObjekt
drücken,"drücke - drückst - drückt - drücken - drückt - drücken<br><br>drückte - drücktest - drückte - drückten - drücktet - drückten<br><br>man hat gedrückt<br><br><br><br>натискати<br><br>Drück den Knopf bitte. = Натисни кнопку, будь ласка.<br><br><br><br>pressen - стискати",Verb
dürfen,"darf - darfst - darf - dürfen - dürft - dürfen<br><br>durfte - durftest - durfte - durften - durftet - durften<br><br>man hat gedurft<br><br><br><br>мати право<br><br>Du darfst hier parken. = Ти можеш тут паркуватися.<br><br><br><br>können - могти<br>müssen - мусити",A1 StarkeVerb Verb
sduschen,"dusche - duschst - duscht - duschen uns - duscht euch - duschen sich<br><br>duschte - duchtest - duschte - duschten uns - duschtet euch - duschten sich<br><br>man hat sgeduscht<br><br>A<br><br>митися<br><br>dusche mmorgens. = Я миюся вранці.<br><br><br><br>swaschen - митися",Verb VerbMitReflexivpronomen
durchführen,"führe durch - führst durch - führt durch - führen durch - führt durch - führen durch<br><br>führte durch - führtest durch - führte durch - führten durch - führtet durch - führten durch<br><br>man hat durchgeführt<br><br><br><br>проводити; виконувати<br><br>Wir führen das Experiment durch. = Ми проводимо експеримент.<br><br><br><br>ausführen - виконувати",Verb Work
durchhalten,"halte durch - hältst durch - hält durch - halten durch - haltet durch - halten durch<br><br>hielt durch - hieltest durch - hielt durch - hielten durch - hieltet durch - hielten durch<br><br>man hat durchgehalten<br><br><br><br>стримуватися; витримувати<br><br>Du musst durchhalten. = Тобі потрібно витримати.<br><br><br><br>aushalten - терпіти",Must-have-set Verb
durchsprechen,"spreche durch - sprichst durch - spricht durch - sprechen durch - sprecht durch - sprechen durch<br><br>sprach durch - sprachst durch - sprach durch - sprachen durch - sprecht durch - sprachen durch<br><br>man hat durchgesprochen<br><br><br><br>обговорювати повністю<br><br>Wir sprechen das Problem durch. = Ми повністю обговорюємо проблему.<br><br><br><br>besprechen - обговорювати",Verb Work
durchziehen,"ziehe durch - ziehst durch - zieht durch - ziehen durch - zieht durch - ziehen durch<br><br>zog durch - zogst durch - zog durch - zogen durch - zogt durch - zogen durch<br><br>man hat durchgezogen<br><br><br><br>протягуватися; завершувати<br><br>Wir ziehen die Aktion durch. = Ми доводимо акцію до кінця.<br><br><br><br>fortsetzen - продовжувати",Gym Verb
einarbeiten,"arbeite ein - arbeitest ein - arbeitet ein - arbeiten ein - arbeitet ein - arbeiten ein<br><br>arbeitete ein - arbeitetest ein - arbeitete ein - arbeiteten ein - arbeitetet ein - arbeiteten ein<br><br>man hat eingearbeitet<br><br>D+A<br><br>навчати (новачка)<br><br>arbeite din das Team ein. = Я навчаю тебе в команді.<br><br>arbeiten - працювати<br><br>ausarbeiten - розробляти<br>weiterarbeiten - продовжувати працювати<br><br>schulen - навчати<br>trainieren - тренувати",Verb Work
einfallen,"falle ein - fällst ein - fällt ein - fallen ein - fallt ein - fallen ein<br><br>fiel ein - fielst ein - fiel ein - fielen ein - fielt ein - fielen ein<br><br>man ist eingefallen<br><br>D<br><br>спадати на думку<br><br>Mir fällt eine Idee ein. = Мені спадає ідея.<br><br>fallen - падати<br><br>auffallen - кидатися в очі<br>zufallen - випадати<br><br>einleuchten - бути зрозумілим",Verb VerbMitDativUndAkkusativObject
einkaufen,"kaufe ein - kaufst ein - kauft ein - kaufen ein - kauft ein - kaufen ein<br><br>kaufte ein - kauftest ein - kaufte ein - kauften ein - kauftet ein - kauften ein<br><br>man hat eingekauft<br><br>A<br><br>купувати<br><br>kaufe Gemüse ein. = Я купую овочі.<br><br>kaufen - купувати<br><br>verkaufen - продавати<br>ankaufen - закуповувати<br><br>besorgen - купувати<br>erwerben - набувати",Verb VerbMitDativUndAkkusativObject
einladen,"lade ein - lädst ein - lädt ein - laden ein - ladet ein - laden ein<br><br>lud ein - ludest ein - lud ein - luden ein - ludet ein - luden ein<br><br>man hat eingeladen<br><br>A<br><br>запрошувати<br><br>lade dzur Party ein. = Я запрошую тебе на вечірку.<br><br>laden - завантажувати<br><br>aufladen - заряджати<br>ausladen - розвантажувати<br><br>auffordern - запрошувати",its-a-match Verb
einpacken,"packe ein - packst ein - packt ein - packen ein - packt ein - packen ein<br><br>packte ein - packtest ein - packte ein - packten ein - packtet ein - packten ein<br><br>man hat eingepackt<br><br>A<br><br>пакувати<br><br>packe meinen Koffer ein. = Я пакую свою валізу.<br><br>packen - пакувати<br><br>auspacken - розпаковувати<br>umpacken - перекладати<br><br>verstauen - укладати",Verb VerbMitDativUndAkkusativObject
einplanen,"plane ein - planst ein - plant ein - planen ein - plant ein - planen ein<br><br>plante ein - plantest ein - plante ein - planten ein - plantet ein - planten ein<br><br>man hat eingeplant<br><br>A<br><br>запланувати<br><br>plane genügend Zeit ein. = Я запланував достатньо часу.<br><br>planen - планувати<br><br>verplanen - заплутатися в планах<br>durchplanen - все запланувати<br><br>kalkulieren - враховувати<br>berücksichtigen - брати до уваги",Verb Work
einschalten,"schalte ein - schaltest ein - schaltet ein - schalten ein - schaltet ein - schalten ein<br><br>schaltete ein - schaltestet ein - schaltete ein - schalteten ein - schaltetet ein - schalteten ein<br><br>man hat eingeschaltet<br><br>A<br><br>вмикати<br><br>schalte den Fernseher ein. = Я вмикаю телевізор.<br><br>schalten - перемикати<br><br>ausschalten - вимикати<br>einschalten - вмикати<br><br>aktivieren - активувати<br>starten - запускати",Mainstream Verb
einsteigen,"steige ein - steigst ein - steigt ein - steigen ein - steigt ein - steigen ein<br><br>stieg ein - stiegst ein - stieg ein - stiegen ein - stiegt ein - stiegen ein<br><br>man ist eingestiegen<br><br><br><br>заходити (в транспорт)<br><br>Wir steigen in den Zug ein. = Ми заходимо в потяг.<br><br>steigen - підніматися<br><br>aussteigen - виходити<br>umsteigen - пересідати<br><br>hineingehen - заходити<br>betreten - входити",Mainstream Verb
einstellen,"stelle ein - stellst ein - stellt ein - stellen ein - stellt ein - stellen ein<br><br>stellte ein - stelltest ein - stellte ein - stellten ein - stelltet ein - stellten ein<br><br>man hat eingestellt<br><br>A<br><br>налаштовувати<br><br>stelle die Lautstärke ein. = Я налаштовую гучність.<br><br>stellen - ставити<br><br>vorstellen - представляти<br>einstellen - налаштовувати<br><br>anpassen - адаптувати<br>konfigurieren - конфігурувати",Verb Work
eintreten,"trete ein - trittst ein - tritt ein - treten ein - tretet ein - treten ein<br><br>trat ein - tratst ein - trat ein - traten ein - tratet ein - traten ein<br><br>man ist eingetreten<br><br><br><br>входити<br><br>Er tritt in den Raum ein. = Він входить у кімнату.<br><br>treten - ступати<br><br>austreten - виходити<br>antreten - приступати<br><br>betreten - входити",7DasPräteritumDerUnregelmäßigenVerben Verb
